connector,connectorChannel,stripNb,axis,_5,_6,_7,xGerber,yGerber
0,0,0,y,1.0,0.7,1,-113.875,-13.55
0,1,1,y,1.0,0.7,0:2,-112.875,-13.55
0,2,2,y,1.0,0.7,1:3,-111.875,-13.55
0,3,3,y,1.0,0.7,2:4,-110.875,-13.55
0,4,4,y,1.0,0.7,3:5,-109.875,-13.55
0,5,5,y,1.0,0.7,4:6,-108.875,-13.55
0,6,6,y,1.0,0.7,5:7,-107.875,-13.55
0,7,7,y,1.0,0.7,6:8,-106.875,-13.55
0,8,8,y,1.0,0.7,7:9,-105.875,-13.55
0,9,9,y,1.0,0.7,8:10,-104.875,-13.55
0,10,10,y,1.0,0.7,9:11,-103.875,-13.55
0,11,11,y,1.0,0.7,10:12,-102.875,-13.55
0,12,12,y,1.0,0.7,11:13,-101.875,-13.55
0,13,13,y,1.0,0.7,12:14,-100.875,-13.55
0,14,14,y,1.0,0.7,13:15,-99.875,-13.55
0,15,15,y,1.0,0.7,14:16,-98.875,-13.55
0,16,16,y,1.0,0.7,15:17,-97.875,-13.55
0,17,17,y,1.0,0.7,16:18,-96.875,-13.55
0,18,18,y,1.0,0.7,17:19,-95.875,-13.55
0,19,19,y,1.0,0.7,18:20,-94.875,-13.55
0,20,20,y,1.0,0.7,19:21,-93.875,-13.55
0,21,21,y,1.0,0.7,20:22,-92.875,-13.55
0,22,22,y,1.0,0.7,21:23,-91.875,-13.55
0,23,23,y,1.0,0.7,22:24,-90.875,-13.55
0,24,24,y,1.0,0.7,23:25,-89.875,-13.55
0,25,25,y,1.0,0.7,24:26,-88.875,-13.55
0,26,26,y,1.0,0.7,25:27,-87.875,-13.55
0,27,27,y,1.0,0.7,26:28,-86.875,-13.55
0,28,28,y,1.0,0.7,27:29,-85.875,-13.55
0,29,29,y,1.0,0.7,28:30,-84.875,-13.55
0,30,30,y,1.0,0.7,29:31,-83.875,-13.55
0,31,31,y,1.0,0.7,30:32,-82.875,-13.55
0,32,32,y,1.0,0.7,31:33,-81.875,-13.55
0,33,33,y,1.0,0.7,32:34,-80.875,-13.55
0,34,34,y,1.0,0.7,33:35,-79.875,-13.55
0,35,35,y,1.0,0.7,34:36,-78.875,-13.55
0,36,36,y,1.0,0.7,35:37,-77.875,-13.55
0,37,37,y,1.0,0.7,36:38,-76.875,-13.55
0,38,38,y,1.0,0.7,37:39,-75.875,-13.55
0,39,39,y,1.0,0.7,38:40,-74.875,-13.55
0,40,40,y,1.0,0.7,39:41,-73.875,-13.55
0,41,41,y,1.0,0.7,40:42,-72.875,-13.55
0,42,42,y,1.0,0.7,41:43,-71.875,-13.55
0,43,43,y,1.0,0.7,42:44,-70.875,-13.55
0,44,44,y,1.0,0.7,43:45,-69.875,-13.55
0,45,45,y,1.0,0.7,44:46,-68.875,-13.55
0,46,46,y,1.0,0.7,45:47,-67.875,-13.55
0,47,47,y,1.0,0.7,46:48,-66.875,-13.55
0,48,48,y,1.0,0.7,47:49,-65.875,-13.55
0,49,49,y,1.0,0.7,48:50,-64.875,-13.55
0,50,50,y,1.0,0.7,49:51,-63.875,-13.55
0,51,51,y,1.0,0.7,50:52,-62.875,-13.55
0,52,52,y,1.0,0.7,51:53,-61.875,-13.55
0,53,53,y,1.0,0.7,52:54,-60.875,-13.55
0,54,54,y,1.0,0.7,53:55,-59.875,-13.55
0,55,55,y,1.0,0.7,54:56,-58.875,-13.55
0,56,56,y,1.0,0.7,55:57,-57.875,-13.55
0,57,57,y,1.0,0.7,56:58,-56.875,-13.55
0,58,58,y,1.0,0.7,57:59,-55.875,-13.55
0,59,59,y,1.0,0.7,58:60,-54.875,-13.55
0,60,60,y,1.0,0.7,59:61,-53.875,-13.55
0,61,61,y,1.0,0.7,60:62,-52.875,-13.55
0,62,62,y,1.0,0.7,61:63,-51.875,-13.55
0,63,63,y,1.0,0.7,62,-50.875,-13.55
1,0,64,y,1.0,0.7,1,-49.8125,-13.55
1,1,65,y,1.0,0.7,0:2,-48.8125,-13.55
1,2,66,y,1.0,0.7,1:3,-47.8125,-13.55
1,3,67,y,1.0,0.7,2:4,-46.8125,-13.55
1,4,68,y,1.0,0.7,3:5,-45.8125,-13.55
1,5,69,y,1.0,0.7,4:6,-44.8125,-13.55
1,6,70,y,1.0,0.7,5:7,-43.8125,-13.55
1,7,71,y,1.0,0.7,6:8,-42.8125,-13.55
1,8,72,y,1.0,0.7,7:9,-41.8125,-13.55
1,9,73,y,1.0,0.7,8:10,-40.8125,-13.55
1,10,74,y,1.0,0.7,9:11,-39.8125,-13.55
1,11,75,y,1.0,0.7,10:12,-38.8125,-13.55
1,12,76,y,1.0,0.7,11:13,-37.8125,-13.55
1,13,77,y,1.0,0.7,12:14,-36.8125,-13.55
1,14,78,y,1.0,0.7,13:15,-35.8125,-13.55
1,15,79,y,1.0,0.7,14:16,-34.8125,-13.55
1,16,80,y,1.0,0.7,15:17,-33.8125,-13.55
1,17,81,y,1.0,0.7,16:18,-32.8125,-13.55
1,18,82,y,1.0,0.7,17:19,-31.8125,-13.55
1,19,83,y,1.0,0.7,18:20,-30.8125,-13.55
1,20,84,y,1.0,0.7,19:21,-29.8125,-13.55
1,21,85,y,1.0,0.7,20:22,-28.8125,-13.55
1,22,86,y,1.0,0.7,21:23,-27.8125,-13.55
1,23,87,y,1.0,0.7,22:24,-26.8125,-13.55
1,24,88,y,1.0,0.7,23:25,-25.8125,-13.55
1,25,89,y,1.0,0.7,24:26,-24.8125,-13.55
1,26,90,y,1.0,0.7,25:27,-23.8125,-13.55
1,27,91,y,1.0,0.7,26:28,-22.8125,-13.55
1,28,92,y,1.0,0.7,27:29,-21.8125,-13.55
1,29,93,y,1.0,0.7,28:30,-20.8125,-13.55
1,30,94,y,1.0,0.7,29:31,-19.8125,-13.55
1,31,95,y,1.0,0.7,30,-18.8125,-13.55
1,32,96,y,1.0,0.7,33,-17.8125,-13.55
1,33,97,y,1.0,0.7,32:34,-16.8125,-13.55
1,34,98,y,1.0,0.7,33:35,-15.8125,-13.55
1,35,99,y,1.0,0.7,34:36,-14.8125,-13.55
1,36,100,y,1.0,0.7,35:37,-13.8125,-13.55
1,37,101,y,1.0,0.7,36:38,-12.8125,-13.55
1,38,102,y,1.0,0.7,37:39,-11.8125,-13.55
1,39,103,y,1.0,0.7,38:40,-10.8125,-13.55
1,40,104,y,1.0,0.7,39:41,-9.8125,-13.55
1,41,105,y,1.0,0.7,40:42,-8.8125,-13.55
1,42,106,y,1.0,0.7,41:43,-7.8125,-13.55
1,43,107,y,1.0,0.7,42:44,-6.8125,-13.55
1,44,108,y,1.0,0.7,43:45,-5.8125,-13.55
1,45,109,y,1.0,0.7,44:46,-4.8125,-13.55
1,46,110,y,1.0,0.7,45:47,-3.8125,-13.55
1,47,111,y,1.0,0.7,46:48,-2.8125,-13.55
1,48,112,y,1.0,0.7,47:49,-1.8125,-13.55
1,49,113,y,1.0,0.7,48:50,-0.8125,-13.55
1,50,114,y,1.0,0.7,49:51,0.1875,-13.55
1,51,115,y,1.0,0.7,50:52,1.1875,-13.55
1,52,116,y,1.0,0.7,51:53,2.1875,-13.55
1,53,117,y,1.0,0.7,52:54,3.1875,-13.55
1,54,118,y,1.0,0.7,53:55,4.1875,-13.55
1,55,119,y,1.0,0.7,54:56,5.1875,-13.55
1,56,120,y,1.0,0.7,55:57,6.1875,-13.55
1,57,121,y,1.0,0.7,56:58,7.1875,-13.55
1,58,122,y,1.0,0.7,57:59,8.1875,-13.55
1,59,123,y,1.0,0.7,58:60,9.1875,-13.55
1,60,124,y,1.0,0.7,59:61,10.1875,-13.55
1,61,125,y,1.0,0.7,60:62,11.1875,-13.55
1,62,126,y,1.0,0.7,61:63,12.1875,-13.55
1,63,127,y,1.0,0.7,62,13.1875,-13.55
2,0,0,x,1.2,0.125,1,-113.875,-13.55
2,1,1,x,1.2,0.125,0:2,-113.875,-12.35
2,2,2,x,1.2,0.125,1:3,-113.875,-11.15
2,3,3,x,1.2,0.125,2:4,-113.875,-9.95
2,4,4,x,1.2,0.125,3:5,-113.875,-8.75
2,5,5,x,1.2,0.125,4:6,-113.875,-7.55
2,6,6,x,1.2,0.125,5:7,-113.875,-6.35
2,7,7,x,1.2,0.125,6:8,-113.875,-5.15
2,8,8,x,1.2,0.125,7:9,-113.875,-3.95
2,9,9,x,1.2,0.125,8:10,-113.875,-2.75
2,10,10,x,1.2,0.125,9:11,-113.875,-1.55
2,11,11,x,1.2,0.125,10:12,-113.875,-0.35
2,12,12,x,1.2,0.125,11:13,-113.875,0.85
2,13,13,x,1.2,0.125,12:14,-113.875,2.05
2,14,14,x,1.2,0.125,13:15,-113.875,3.25
2,15,15,x,1.2,0.125,14:16,-113.875,4.45
2,16,16,x,1.2,0.125,15:17,-113.875,5.65
2,17,17,x,1.2,0.125,16:18,-113.875,6.85
2,18,18,x,1.2,0.125,17:19,-113.875,8.05
2,19,19,x,1.2,0.125,18:20,-113.875,9.25
2,20,20,x,1.2,0.125,19:21,-113.875,10.45
2,21,21,x,1.2,0.125,20:22,-113.875,11.65
2,22,22,x,1.2,0.125,21:23,-113.875,12.85
2,23,23,x,1.2,0.125,22:24,-113.875,14.05
2,24,24,x,1.2,0.125,23:25,-113.875,15.25
2,25,25,x,1.2,0.125,24:26,-113.875,16.45
2,26,26,x,1.2,0.125,25:27,-113.875,17.65
2,27,27,x,1.2,0.125,26:28,-113.875,18.85
2,28,28,x,1.2,0.125,27:29,-113.875,20.05
2,29,29,x,1.2,0.125,28:30,-113.875,21.25
2,30,30,x,1.2,0.125,29:31,-113.875,22.45
2,31,31,x,1.2,0.125,30:32,-113.875,23.65
2,32,32,x,1.2,0.125,31:33,-113.875,24.85
2,33,33,x,1.2,0.125,32:34,-113.875,26.05
2,34,34,x,1.2,0.125,33:35,-113.875,27.25
2,35,35,x,1.2,0.125,34:36,-113.875,28.45
2,36,36,x,1.2,0.125,35:37,-113.875,29.65
2,37,37,x,1.2,0.125,36:38,-113.875,30.85
2,38,38,x,1.2,0.125,37:39,-113.875,32.05
2,39,39,x,1.2,0.125,38:40,-113.875,33.25
2,40,40,x,1.2,0.125,39:41,-113.875,34.45
2,41,41,x,1.2,0.125,40:42,-113.875,35.65
2,42,42,x,1.2,0.125,41:43,-113.875,36.85
2,43,43,x,1.2,0.125,42:44,-113.875,38.05
2,44,44,x,1.2,0.125,43:45,-113.875,39.25
2,45,45,x,1.2,0.125,44:46,-113.875,40.45
2,46,46,x,1.2,0.125,45:47,-113.875,41.65
2,47,47,x,1.2,0.125,46:48,-113.875,42.85
2,48,48,x,1.2,0.125,47:49,-113.875,44.05
2,49,49,x,1.2,0.125,48:50,-113.875,45.25
2,50,50,x,1.2,0.125,49:51,-113.875,46.45
2,51,51,x,1.2,0.125,50:52,-113.875,47.65
2,52,52,x,1.2,0.125,51:53,-113.875,48.85
2,53,53,x,1.2,0.125,52:54,-113.875,50.05
2,54,54,x,1.2,0.125,53:55,-113.875,51.25
2,55,55,x,1.2,0.125,54:56,-113.875,52.45
2,56,56,x,1.2,0.125,55:57,-113.875,53.65
2,57,57,x,1.2,0.125,56:58,-113.875,54.85
2,58,58,x,1.2,0.125,57:59,-113.875,56.05
2,59,59,x,1.2,0.125,58:60,-113.875,57.25
2,60,60,x,1.2,0.125,59:61,-113.875,58.45
2,61,61,x,1.2,0.125,60:62,-113.875,59.65
2,62,62,x,1.2,0.125,61:63,-113.875,60.85
2,63,63,x,1.2,0.125,62,-113.875,62.05
3,0,64,x,1.2,0.125,1,-113.875,50.7
3,1,65,x,1.2,0.125,0:2,-113.875,51.9
3,2,66,x,1.2,0.125,1:3,-113.875,53.1
3,3,67,x,1.2,0.125,2:4,-113.875,54.3
3,4,68,x,1.2,0.125,3:5,-113.875,55.5
3,5,69,x,1.2,0.125,4:6,-113.875,56.7
3,6,70,x,1.2,0.125,5:7,-113.875,57.9
3,7,71,x,1.2,0.125,6:8,-113.875,59.1
3,8,72,x,1.2,0.125,7:9,-113.875,60.3
3,9,73,x,1.2,0.125,8:10,-113.875,61.5
3,10,74,x,1.2,0.125,9:11,-113.875,62.7
3,11,75,x,1.2,0.125,10:12,-113.875,63.9
3,12,76,x,1.2,0.125,11:13,-113.875,65.1
3,13,77,x,1.2,0.125,12:14,-113.875,66.3
3,14,78,x,1.2,0.125,13:15,-113.875,67.5
3,15,79,x,1.2,0.125,14:16,-113.875,68.7
3,16,80,x,1.2,0.125,15:17,-113.875,69.9
3,17,81,x,1.2,0.125,16:18,-113.875,71.1
3,18,82,x,1.2,0.125,17:19,-113.875,72.3
